Protein	HG_RPMI_exp_1	HG_RPMI_exp_2	HG_RPMI_exp_3	HG_RPMI_stat_1	HG_RPMI_stat_2	HG_RPMI_stat_3	HG_TSB_exp_1	HG_TSB_exp_2	HG_TSB_exp_3	HG_TSB_stat_1	HG_TSB_stat_2	HG_TSB_stat_3	ST_RPMI_exp_1	ST_RPMI_exp_2	ST_RPMI_exp_3	ST_RPMI_stat_1	ST_RPMI_stat_2	ST_RPMI_stat_3	ST_TSB_exp_1	ST_TSB_exp_2	ST_TSB_exp_3	ST_TSB_stat_1	ST_TSB_stat_2	ST_TSB_stat_3
GlpK	56824.4008	69371.37527	62077.18534	32559.97329	37541.87105	44053.25765	107139.3908	111820.6171	81221.68816	73009.4059	65317.93386	71975.21193	57099.50139	51243.57976	55643.05611	41430.67506	38776.39964	23601.86187	86153.1664	69856.37919	81263.70673	87129.17738	68851.50528	77468.52535
PckA	6491.387982	11096.05856	10340.92755	NA	NA	5953.030999	46353.08386	3087.338236	8495.931566	171714.7745	230225.0645	222267.6314	12522.84035	7595.698537	6398.429061	484.5232032	NA	8159.231982	22551.60638	3354.270141	5089.029353	221713.1798	200839.5048	215573.3466
Kbl	106163.4323	86074.59968	87850.03511	59130.46202	62661.68326	75718.44109	83952.65458	73895.28871	74736.54897	190193.4946	141283.9548	164528.3731	57768.34045	48295.33956	64060.19121	66054.35113	86802.40058	88623.04911	81756.02807	46798.74862	60604.58941	154158.7812	157466.0911	191446.3751
MurF	98895.57153	123902.2374	96062.33828	85872.67849	81714.46395	89175.68711	89242.28295	100264.8042	104368.263	93127.94092	84920.90215	84233.32358	92847.08327	105539.3318	84658.6005	97045.32656	84637.61401	80149.45929	94424.88126	71438.54857	80154.22941	59986.74715	63074.74302	83406.62865
Pgi	43521.16537	46310.12405	37120.3101	32190.27059	21838.6404	41151.66943	56401.35625	56586.48045	43126.44722	42420.237	38368.5839	41944.57462	37444.7524	52327.27111	18386.2136	33519.92252	58521.51152	74845.09678	66485.70236	39030.71841	58579.04361	60129.80498	54670.55351	42249.47845
PtsI	415272.7827	481648.0375	406534.0271	243151.8604	365594.9967	275088.6634	526740.2044	515765.2336	530843.4179	327123.5479	309454.5057	307483.0782	499786.5636	387158.4773	490179.4741	488421.4187	359276.447	247057.1279	558332.781	372491.1094	512499.2685	304292.6379	304723.9816	292566.0854
SAOUHSC_02604	54727.50209	74497.5477	63756.69547	360203.3485	388835.026	309257.3998	140432.2879	75199.93913	64763.69533	341717.306	504905.0703	256514.1502	49380.20904	69891.65219	46138.58211	426088.7864	297788.7865	289063.91	84434.67029	34106.3425	35807.21417	507114.3907	382936.7285	315402.4021
GlyS	265989.8561	176785.3815	233902.3258	262281.1283	143566.6454	259431.6496	205767.6629	268207.6375	378752.6913	424364.822	372447.3312	423665.8915	281457.2286	155150.6464	278305.4962	194086.0267	353238.3008	459625.1587	328835.495	198955.7133	329702.2855	295475.9392	348578.997	383665.5472
RocD	83241.89669	88351.38297	80560.53693	79847.66755	101890.0899	114555.2383	123241.1623	39712.96433	40226.79739	596956.0813	513778.9875	609383.4948	60041.83552	62809.08665	52648.1324	81801.23218	92134.41831	92310.67265	84978.54747	18866.65306	23023.02775	550196.2324	539110.1449	546455.2404
CitC	21181.58442	23135.03458	25907.49767	10599.72283	20004.8232	19316.27357	37330.75317	21555.95337	14802.66324	158095.3056	115480.2738	143500.0148	22673.92394	17182.95435	13383.58386	26584.71598	31046.12386	10408.56987	28333.97879	22636.05016	11036.00367	102916.0797	92152.47201	102666.4048
NagB	31587.97524	23354.39587	23348.26219	40551.26373	21902.31622	39157.3787	19010.90371	24420.05807	23074.74254	49615.9051	31695.11644	43297.03045	33112.96183	45271.20729	25324.22642	24412.10947	16656.40927	17694.67504	13870.62177	16237.6163	21198.73749	22752.47063	34515.5862	49183.33624
CodY	256091.0439	257477.1077	233580.0448	168425.0721	135385.6115	182343.9692	366227.4248	296435.8089	283745.7562	261994.1888	248775.8649	228814.5521	262287.0014	300003.0388	227698.0871	249232.8756	288605.6629	261063.0676	322517.3535	334485.3682	303346.3751	366339.8544	285543.4124	281992.1271
Pdp	66458.11648	59370.62598	71405.39012	40560.44382	52796.4965	51435.16111	75814.88545	49596.11225	53277.39202	217851.4784	190057.8808	220330.179	61660.61131	56458.84934	71239.59068	67482.38487	64361.54934	57523.11071	60932.34516	46218.60143	52202.39293	182583.7262	200496.2232	262649.2865
MenB	314283.4759	264377.0647	285603.8852	162719.2939	147170.2997	168502.8958	279502.6092	239861.8999	281312.3621	265361.607	200462.5717	250618.592	249819.9225	221938.154	273334.4159	230608.1551	184588.7185	227051.4011	259492.7259	213942.8402	260626.6733	198735.3146	230644.9797	246482.3644
ClpQ	8739.607981	9436.145885	7394.392465	NA	NA	80632.83043	15467.75831	24123.52397	16708.35211	3938.004675	4417.559262	25863.86987	12791.32427	9030.495061	10059.36786	26239.16035	NA	4454.985479	15246.2264	13261.86829	12794.36358	NA	NA	6197.411427
GatB	285498.2928	277463.4424	304700.0687	226018.919	181355.6392	225572.85	334050.4341	307275.6755	277675.7036	228493.8383	207242.144	212065.0515	306654.4395	282022.8125	279022.563	206920.8132	269779.4124	259386.3649	307696.9856	233102.2843	262679.7847	238376.1979	223762.8967	231393.3196
GltB	8513.131873	5876.601765	8053.761571	21103.38725	18046.13335	22164.56116	NA	NA	NA	10885.1687	9602.251221	9326.922962	NA	NA	NA	8784.640511	23839.57539	33812.52956	NA	NA	NA	7412.180956	6295.608629	12673.13246
FdhA	5905.328698	6009.310529	6975.216381	NA	NA	NA	44421.83964	37000.05797	29873.0556	172587.1145	131816.8241	171635.0698	1645.3865	2981.811706	1847.057096	NA	NA	NA	15399.96762	7022.168329	10147.83374	76792.00537	88704.2339	94896.42271
HmrA	45447.55841	52258.6331	60186.19047	37775.91643	39523.94987	43610.22502	47450.81805	56849.38595	61797.19855	52570.1134	45431.81846	55652.66545	20768.85857	18564.45573	18225.52829	19457.65504	22381.78096	19588.29343	29406.63322	23693.09918	22158.69967	45792.38838	46046.37901	29460.40948
PepQ2	305966.8471	295009.8985	305227.3324	224690.9777	220109.0008	296179.3081	265335.6059	260921.5178	267532.4448	337969.114	302516.4435	306437.3003	297033.2334	210053.7603	294052.4386	275316.9539	269091.2646	243630.3292	286687.2714	163567.8927	246164.9798	278724.1222	331006.7082	369805.6144
BrnQ2	7280.927017	12827.66667	7761.499992	NA	NA	NA	19304.79975	19525.82128	12106.1066	4617.731133	8509.483981	NA	8268.602563	7705.265433	9739.56957	6402.999064	NA	2837.128101	11120.09237	8693.680064	10710.04429	5706.871077	7773.665151	4130.989136
AcsA	24758.21461	37123.48756	20614.67369	21145.89811	8907.068017	18504.06826	81603.60639	NA	NA	385754.6475	333730.6877	371878.9755	27846.28355	29327.66666	23004.78189	11474.26358	14868.38285	NA	26553.96905	NA	NA	299934.9003	300271.5668	356394.9289
